Feature,Feature_Label,X_Value,Partial_Effect,CI_Lower,CI_Upper
E Fixed,$E_{\mathrm{fixed}}$,304354545454.5455,-786.3241328600043,-1425.5839745409603,-147.06429117904838
E Fixed,$E_{\mathrm{fixed}}$,308181818181.81824,-547.8714461860912,-1203.5003883328422,107.75749596065975
E Fixed,$E_{\mathrm{fixed}}$,312009090909.09094,-306.88842305662473,-1000.5788073444953,386.8019612312459
E Fixed,$E_{\mathrm{fixed}}$,315836363636.36365,-63.88072691049675,-813.9738865145555,686.212432693562
E Fixed,$E_{\mathrm{fixed}}$,319663636363.63635,180.97810801289168,-640.0426174674446,1001.998833493228
E Fixed,$E_{\mathrm{fixed}}$,323490909090.9091,427.5727235198292,-475.4674323203219,1330.6128793599803
E Fixed,$E_{\mathrm{fixed}}$,327318181818.1818,675.7877614165964,-317.62251955037175,1669.1980423835644
E Fixed,$E_{\mathrm{fixed}}$,331145454545.4546,925.5078635094844,-164.5655916859007,2015.5813187048695
E Fixed,$E_{\mathrm{fixed}}$,334972727272.7273,1176.6178132441553,-14.91025889955381,2368.1458853878644
E Fixed,$E_{\mathrm{fixed}}$,338800000000.0,1429.0138929178036,132.30365377611065,2725.7241320594967
E Fixed,$E_{\mathrm{fixed}}$,342627272727.27277,1682.6121882793511,277.72482294424617,3087.499553614456
E Fixed,$E_{\mathrm{fixed}}$,346454545454.5455,1937.3307431005169,421.7989681071815,3452.8625180938525
E Fixed,$E_{\mathrm{fixed}}$,350281818181.8182,2193.087601153027,564.8307382207306,3821.344464085324
E Fixed,$E_{\mathrm{fixed}}$,354109090909.09094,2449.80080620861,707.0251917464545,4192.576420670765
E Fixed,$E_{\mathrm{fixed}}$,357936363636.36365,2707.388982509728,848.5163430063762,4566.26162201308
E Fixed,$E_{\mathrm{fixed}}$,361763636363.63635,2965.786146977163,989.3810712224813,4942.191222731844
E Fixed,$E_{\mathrm{fixed}}$,365590909090.9091,3224.9429370416806,1129.6582901094025,5320.227583973959
E Fixed,$E_{\mathrm{fixed}}$,369418181818.1818,3484.810816624608,1269.3687855667372,5700.252847682479
E Fixed,$E_{\mathrm{fixed}}$,373245454545.4546,3745.341249647288,1408.5219204321197,6082.1605788624565
E Fixed,$E_{\mathrm{fixed}}$,377072727272.7273,4006.485700031043,1547.120017883742,6465.851382178344
E Fixed,$E_{\mathrm{fixed}}$,380900000000.0,4268.195697405193,1685.1614475319784,6851.229947278407
E Fixed,$E_{\mathrm{fixed}}$,384727272727.27277,4530.423592279881,1822.642769604281,7238.20441495548
E Fixed,$E_{\mathrm{fixed}}$,388554545454.5455,4793.122293164729,1959.5604632553136,7626.684123074145
E Fixed,$E_{\mathrm{fixed}}$,392381818181.8182,5056.244719232736,2095.912056796116,8016.577381669356
E Fixed,$E_{\mathrm{fixed}}$,396209090909.09094,5319.743789656899,2231.6967790871145,8407.790800226683
E Fixed,$E_{\mathrm{fixed}}$,400036363636.36365,5583.572423610205,2366.9159526807007,8800.228894539709
E Fixed,$E_{\mathrm{fixed}}$,403863636363.6364,5847.684270672283,2501.573880299665,9193.7946610449
E Fixed,$E_{\mathrm{fixed}}$,407690909090.9091,6112.037988659162,2635.6814810804995,9588.394496237825
E Fixed,$E_{\mathrm{fixed}}$,411518181818.1818,6376.594336104497,2769.2525837434623,9983.936088465533
E Fixed,$E_{\mathrm{fixed}}$,415345454545.4546,6641.314078728883,2902.30183517508,10380.326322282686
E Fixed,$E_{\mathrm{fixed}}$,419172727272.7273,6906.157982252907,3034.844731656067,10777.471232849746
E Fixed,$E_{\mathrm{fixed}}$,423000000000.0,7171.086812397165,3166.8975979429147,11175.276026851416
rho Fixed,$\rho_{\mathrm{fixed}}$,1771.5,-362.970862859799,-2127.5671265017754,1401.6254007821776
rho Fixed,$\rho_{\mathrm{fixed}}$,1948.4848484848485,-417.6534636732573,-2067.4087981345538,1232.101870788039
rho Fixed,$\rho_{\mathrm{fixed}}$,2125.469696969697,-446.3835061106379,-1999.714380920379,1106.9473686991032
rho Fixed,$\rho_{\mathrm{fixed}}$,2302.4545454545455,-451.2808541642566,-1928.1421462870187,1025.5804379585054
rho Fixed,$\rho_{\mathrm{fixed}}$,2479.439393939394,-434.46537182642874,-1854.6605202801454,985.729776627288
rho Fixed,$\rho_{\mathrm{fixed}}$,2656.4242424242425,-398.05692308947016,-1779.3864187601512,983.2725725812107
rho Fixed,$\rho_{\mathrm{fixed}}$,2833.409090909091,-344.1794045371516,-1700.8362546825479,1012.4774456082446
rho Fixed,$\rho_{\mathrm{fixed}}$,3010.3939393939395,-276.1354243000977,-1618.0219083639222,1065.7510597637265
rho Fixed,$\rho_{\mathrm{fixed}}$,3187.378787878788,-200.03770933230598,-1533.5503451874513,1133.4749265228395
rho Fixed,$\rho_{\mathrm{fixed}}$,3364.3636363636365,-122.40881736382119,-1451.3026121082821,1206.4849773806395
rho Fixed,$\rho_{\mathrm{fixed}}$,3541.348484848485,-49.77130612468812,-1375.9136474094248,1276.3710351600485
rho Fixed,$\rho_{\mathrm{fixed}}$,3718.3333333333335,11.352266655048227,-1312.6972424529158,1335.4017757630122
rho Fixed,$\rho_{\mathrm{fixed}}$,3895.318181818182,54.532192059638696,-1267.4992371467824,1376.5636212660597
rho Fixed,$\rho_{\mathrm{fixed}}$,4072.3030303030305,78.19741926584929,-1241.8635887448183,1398.2584272765168
rho Fixed,$\rho_{\mathrm{fixed}}$,4249.287878787879,87.92453672872102,-1230.4349759224021,1406.2840493798442
rho Fixed,$\rho_{\mathrm{fixed}}$,4426.272727272728,89.86227073582953,-1227.1437601584028,1406.8683016300618
rho Fixed,$\rho_{\mathrm{fixed}}$,4603.257575757576,90.15934757475038,-1225.565939575099,1405.8846347246
rho Fixed,$\rho_{\mathrm{fixed}}$,4780.242424242424,94.96449353305916,-1218.9219447071528,1408.850931773271
rho Fixed,$\rho_{\mathrm{fixed}}$,4957.227272727273,110.27872441058592,-1200.474302608352,1421.0317514295239
rho Fixed,$\rho_{\mathrm{fixed}}$,5134.212121212122,139.1326365965299,-1167.487428722914,1445.7527019159738
rho Fixed,$\rho_{\mathrm{fixed}}$,5311.19696969697,181.80584528376414,-1121.065125991714,1484.676816559242
rho Fixed,$\rho_{\mathrm{fixed}}$,5488.181818181818,238.47422386855612,-1062.5053997253117,1539.4538474624237
rho Fixed,$\rho_{\mathrm{fixed}}$,5665.166666666667,309.31364574717406,-992.8865044697146,1611.5137959640629
rho Fixed,$\rho_{\mathrm{fixed}}$,5842.151515151516,394.4999843158848,-912.8716345343853,1701.871603166155
rho Fixed,$\rho_{\mathrm{fixed}}$,6019.136363636364,493.93750566684156,-822.8802776647435,1810.7552889984267
rho Fixed,$\rho_{\mathrm{fixed}}$,6196.121212121212,604.7834383609531,-725.4711160176421,1935.0379927395484
rho Fixed,$\rho_{\mathrm{fixed}}$,6373.106060606061,722.5999467680704,-624.2550971981873,2069.454990734328
rho Fixed,$\rho_{\mathrm{fixed}}$,6550.09090909091,842.9295477389401,-522.5897768912109,2208.448872369091
rho Fixed,$\rho_{\mathrm{fixed}}$,6727.075757575758,961.3147581243077,-423.9314466493729,2346.5609628979882
rho Fixed,$\rho_{\mathrm{fixed}}$,6904.060606060606,1073.298094774919,-332.30964710444573,2478.905836654284
rho Fixed,$\rho_{\mathrm{fixed}}$,7081.045454545455,1173.9800533403659,-252.9622183311244,2600.922325011856
rho Fixed,$\rho_{\mathrm{fixed}}$,7258.030303030304,1255.937614061685,-192.62769041565048,2704.5029185390204
rho Fixed,$\rho_{\mathrm{fixed}}$,7435.015151515152,1310.8536301457532,-157.79708083208106,2779.5043411235874
rho Fixed,$\rho_{\mathrm{fixed}}$,7612.0,1330.4099070454895,-153.69288571291327,2814.5126998038922
rho Fixed,$\rho_{\mathrm{fixed}}$,7788.984848484849,1306.288250213814,-184.05275262632108,2796.6292530539495
rho Fixed,$\rho_{\mathrm{fixed}}$,7965.969696969698,1230.1712583064375,-251.28580946141983,2711.628326074295
rho Fixed,$\rho_{\mathrm{fixed}}$,8142.954545454546,1098.3643158545703,-354.02632773153414,2550.7549594406746
rho Fixed,$\rho_{\mathrm{fixed}}$,8319.939393939394,922.6823015938845,-481.2329609340153,2326.597564121784
rho Fixed,$\rho_{\mathrm{fixed}}$,8496.924242424244,718.1890528986987,-620.2535169203368,2056.631622717734
rho Fixed,$\rho_{\mathrm{fixed}}$,8673.909090909092,499.9484071433375,-758.6988683297153,1758.5956826163901
rho Fixed,$\rho_{\mathrm{fixed}}$,8850.89393939394,283.0242017021168,-884.3391387661585,1450.387542170392
rho Fixed,$\rho_{\mathrm{fixed}}$,9027.878787878788,82.44091454390906,-985.1272212202293,1150.0090503080473
rho Fixed,$\rho_{\mathrm{fixed}}$,9204.863636363636,-92.3149677074412,-1054.8713041267015,870.2413687118191
rho Fixed,$\rho_{\mathrm{fixed}}$,9381.848484848486,-242.95716924159103,-1099.370695152645,613.4563566694632
rho Fixed,$\rho_{\mathrm{fixed}}$,9558.833333333334,-372.55054883841956,-1126.8460737525536,381.7449760757145
rho Fixed,$\rho_{\mathrm{fixed}}$,9735.818181818182,-484.1599652778141,-1146.7721718208531,178.45224126522498
rho Fixed,$\rho_{\mathrm{fixed}}$,9912.803030303032,-580.8502773396601,-1169.7467143111808,8.046159631860633
rho Fixed,$\rho_{\mathrm{fixed}}$,10089.78787878788,-665.6604137619952,-1206.185193762362,-125.13563376162847
rho Fixed,$\rho_{\mathrm{fixed}}$,10266.772727272728,-740.6879596063774,-1262.0521652852724,-219.32375392748236
rho Fixed,$\rho_{\mathrm{fixed}}$,10443.757575757576,-806.8448997995812,-1336.9060795580067,-276.7837200411557
rho Fixed,$\rho_{\mathrm{fixed}}$,10620.742424242424,-864.9676214787494,-1426.314837149536,-303.6204058079627
rho Fixed,$\rho_{\mathrm{fixed}}$,10797.727272727274,-915.8925117810255,-1524.2824520684676,-307.50257149358333
rho Fixed,$\rho_{\mathrm{fixed}}$,10974.712121212122,-960.4559578435524,-1625.4982625900143,-295.41365309709033
rho Fixed,$\rho_{\mathrm{fixed}}$,11151.69696969697,-999.4700045536181,-1726.1877896477313,-272.7522194595048
rho Fixed,$\rho_{\mathrm{fixed}}$,11328.68181818182,-1033.3649372940406,-1823.6965662255839,-243.03330836249734
rho Fixed,$\rho_{\mathrm{fixed}}$,11505.666666666668,-1062.267931752445,-1916.1495259279604,-208.38633757692958
rho Fixed,$\rho_{\mathrm{fixed}}$,11682.651515151516,-1086.297814224758,-2002.3606744003812,-170.23495404913479
rho Fixed,$\rho_{\mathrm{fixed}}$,11859.636363636364,-1105.5734110069038,-2081.601765773157,-129.54505624065075
rho Fixed,$\rho_{\mathrm{fixed}}$,12036.621212121212,-1120.2135483948093,-2153.4453867256366,-86.98171006398206
rho Fixed,$\rho_{\mathrm{fixed}}$,12213.606060606062,-1130.3369012711655,-2217.664198314612,-43.00960422771914
rho Fixed,$\rho_{\mathrm{fixed}}$,12390.59090909091,-1136.0608893808258,-2274.1653935557047,2.0436147940531555
rho Fixed,$\rho_{\mathrm{fixed}}$,12567.575757575758,-1137.50231186046,-2322.9495358421086,47.944912121188736
rho Fixed,$\rho_{\mathrm{fixed}}$,12744.560606060608,-1134.777963435976,-2364.0837198759205,94.52779300396833
rho Fixed,$\rho_{\mathrm{fixed}}$,12921.545454545456,-1128.0046388332805,-2397.6832374464207,141.67395977985962
rho Fixed,$\rho_{\mathrm{fixed}}$,13098.530303030304,-1117.299132778281,-2423.899102422229,189.30083686566695
rho Fixed,$\rho_{\mathrm{fixed}}$,13275.515151515152,-1102.7782399769985,-2442.9094276913484,237.3529477373511
rho Fixed,$\rho_{\mathrm{fixed}}$,13452.5,-1084.5587550405264,-2454.913378127347,285.79586804629434
rho Fixed,$\rho_{\mathrm{fixed}}$,13629.48484848485,-1062.757472551662,-2460.1268771140076,334.61193201068363
rho Fixed,$\rho_{\mathrm{fixed}}$,13806.469696969698,-1037.4911870932,-2458.779526105406,383.7971519190057
rho Fixed,$\rho_{\mathrm{fixed}}$,13983.454545454546,-1008.876693247934,-2451.112376294426,433.3589897985581
rho Fixed,$\rho_{\mathrm{fixed}}$,14160.439393939396,-977.0307855986229,-2437.376306747777,483.3147355505315
rho Fixed,$\rho_{\mathrm{fixed}}$,14337.424242424244,-942.0702586989433,-2417.830838378783,533.6903209808962
rho Fixed,$\rho_{\mathrm{fixed}}$,14514.409090909092,-904.1119070204887,-2392.7432627851845,584.5194487442069
rho Fixed,$\rho_{\mathrm{fixed}}$,14691.39393939394,-863.2725250204742,-2362.3879982980125,635.8429482570643
rho Fixed,$\rho_{\mathrm{fixed}}$,14868.378787878788,-819.6689071561168,-2327.046106803062,687.7082924908282
rho Fixed,$\rho_{\mathrm{fixed}}$,15045.363636363638,-773.4178478846312,-2287.004920056212,740.1692242869498
rho Fixed,$\rho_{\mathrm{fixed}}$,15222.348484848486,-724.636141662833,-2242.5577337405066,793.2854504148405
rho Fixed,$\rho_{\mathrm{fixed}}$,15399.333333333334,-673.4405829149345,-2194.0035334802915,847.1223676504227
rho Fixed,$\rho_{\mathrm{fixed}}$,15576.318181818184,-619.9479660090028,-2141.646720919989,901.7507889019837
rho Fixed,$\rho_{\mathrm{fixed}}$,15753.303030303032,-564.2750853075544,-2085.7968100765993,957.2466394614904
rho Fixed,$\rho_{\mathrm{fixed}}$,15930.28787878788,-506.53873517310603,-2026.7680645996008,1013.6905942533888
rho Fixed,$\rho_{\mathrm{fixed}}$,16107.272727272728,-446.8557099681732,-1964.879047522233,1071.1676275858865
rho Fixed,$\rho_{\mathrm{fixed}}$,16284.257575757576,-385.3428040543447,-1900.4520554262363,1129.7664473175469
rho Fixed,$\rho_{\mathrm{fixed}}$,16461.242424242424,-322.1168117686228,-1833.8124097488294,1189.5787862115835
rho Fixed,$\rho_{\mathrm{fixed}}$,16638.227272727272,-257.2945274214622,-1765.2875801725515,1250.6985253296273
rho Fixed,$\rho_{\mathrm{fixed}}$,16815.21212121212,-190.99274532199667,-1695.206118272245,1313.2206276282518
rho Fixed,$\rho_{\mathrm{fixed}}$,16992.19696969697,-123.3282597793604,-1623.8963847440668,1377.239865185346
rho Fixed,$\rho_{\mathrm{fixed}}$,17169.18181818182,-54.41786510269014,-1551.685061694648,1442.849331489268
rho Fixed,$\rho_{\mathrm{fixed}}$,17346.166666666668,15.621991879726098,-1478.8955358684345,1510.1395196278866
rho Fixed,$\rho_{\mathrm{fixed}}$,17523.151515151516,86.67920537002036,-1405.8468869338792,1579.2052976739199
rho Fixed,$\rho_{\mathrm{fixed}}$,17700.136363636364,158.64462041629847,-1332.8511453449876,1650.1403861775846
rho Fixed,$\rho_{\mathrm{fixed}}$,17877.121212121216,231.409138457249,-1260.2100889675407,1723.0283658820385
rho Fixed,$\rho_{\mathrm{fixed}}$,18054.106060606064,304.8636609315534,-1188.212710256729,1797.9400321198357
rho Fixed,$\rho_{\mathrm{fixed}}$,18231.09090909091,378.8990892779003,-1117.1327167489103,1874.9308953047112
rho Fixed,$\rho_{\mathrm{fixed}}$,18408.07575757576,453.41032816248014,-1047.223760516938,1954.044416841898
rho Fixed,$\rho_{\mathrm{fixed}}$,18585.060606060608,528.3197314954665,-978.703155213712,2035.342618204645
rho Fixed,$\rho_{\mathrm{fixed}}$,18762.045454545456,603.5611668428144,-911.7590672951922,2118.881400980821
rho Fixed,$\rho_{\mathrm{fixed}}$,18939.030303030304,679.0685411608373,-846.5554307097403,2204.692513031415
rho Fixed,$\rho_{\mathrm{fixed}}$,19116.015151515152,754.7757614058463,-783.230629268984,2292.7821520806765
rho Fixed,$\rho_{\mathrm{fixed}}$,19293.0,830.6167345341553,-721.8968047992444,2383.130273867555
nu Fixed,$\nu_{\mathrm{fixed}}$,0.2,-6435.555052084965,-8732.615238025246,-4138.494866144683
nu Fixed,$\nu_{\mathrm{fixed}}$,0.20181818181818184,-6342.248805584541,-8587.848276930206,-4096.649334238876
nu Fixed,$\nu_{\mathrm{fixed}}$,0.20363636363636364,-6248.857617287404,-8444.195301098523,-4053.5199334762833
nu Fixed,$\nu_{\mathrm{fixed}}$,0.20545454545454547,-6155.342249229716,-8301.639503230399,-4009.0449952290323
nu Fixed,$\nu_{\mathrm{fixed}}$,0.20727272727272728,-6061.663463447648,-8160.153362024636,-3963.173564870659
nu Fixed,$\nu_{\mathrm{fixed}}$,0.2090909090909091,-5967.782021977362,-8019.69769916486,-3915.8663447898643
nu Fixed,$\nu_{\mathrm{fixed}}$,0.21090909090909093,-5873.658679666753,-7880.220802785652,-3867.096556547854
nu Fixed,$\nu_{\mathrm{fixed}}$,0.21272727272727274,-5779.252090258256,-7741.652408855057,-3816.851771661456
nu Fixed,$\nu_{\mathrm{fixed}}$,0.21454545454545457,-5684.515898333217,-7603.894419078078,-3765.137377588356
nu Fixed,$\nu_{\mathrm{fixed}}$,0.21636363636363637,-5589.403017931499,-7466.829508123616,-3711.9765277393817
nu Fixed,$\nu_{\mathrm{fixed}}$,0.2181818181818182,-5493.8663630929605,-7330.322521473772,-3657.410204712149
nu Fixed,$\nu_{\mathrm{fixed}}$,0.22,-5397.858847857469,-7194.220445044422,-3601.497250670516
nu Fixed,$\nu_{\mathrm{fixed}}$,0.22181818181818183,-5301.333386259967,-7058.352652053206,-3544.314120466727
nu Fixed,$\nu_{\mathrm{fixed}}$,0.22363636363636363,-5204.242892077987,-6922.531432326566,-3485.9543518294076
nu Fixed,$\nu_{\mathrm{fixed}}$,0.22545454545454546,-5106.540278710373,-6786.552802196107,-3426.527755224639
nu Fixed,$\nu_{\mathrm{fixed}}$,0.2272727272727273,-5008.178459525665,-6650.1975859761205,-3366.15933307521
nu Fixed,$\nu_{\mathrm{fixed}}$,0.2290909090909091,-4909.110347892397,-6513.23275303018,-3304.987942754614
nu Fixed,$\nu_{\mathrm{fixed}}$,0.23090909090909092,-4809.288857179103,-6375.412992883421,-3243.164721474784
nu Fixed,$\nu_{\mathrm{fixed}}$,0.23272727272727273,-4708.666900739496,-6236.482510857949,-3180.8512906210426
nu Fixed,$\nu_{\mathrm{fixed}}$,0.23454545454545456,-4607.197391629187,-6096.1770310080565,-3118.217752250318
nu Fixed,$\nu_{\mathrm{fixed}}$,0.2363636363636364,-4504.8332426277075,-5954.226004195095,-3055.44048106032
nu Fixed,$\nu_{\mathrm{fixed}}$,0.2381818181818182,-4401.527366504184,-5810.355034935565,-2992.699698072803
nu Fixed,$\nu_{\mathrm{fixed}}$,0.24000000000000002,-4297.232676027733,-5664.288565426917,-2930.176786628549
nu Fixed,$\nu_{\mathrm{fixed}}$,0.24181818181818182,-4191.9020839674795,-5515.752893496355,-2868.051274438604
nu Fixed,$\nu_{\mathrm{fixed}}$,0.24363636363636365,-4085.4885030618243,-5364.479655692429,-2806.4973504312193
nu Fixed,$\nu_{\mathrm{fixed}}$,0.24545454545454548,-3977.944845738511,-5210.209988024626,-2745.679703452396
nu Fixed,$\nu_{\mathrm{fixed}}$,0.24727272727272728,-3869.224024244888,-5052.699702055738,-2685.7483464340376
nu Fixed,$\nu_{\mathrm{fixed}}$,0.24909090909090909,-3759.278950826088,-4891.72600643563,-2626.8318952165464
nu Fixed,$\nu_{\mathrm{fixed}}$,0.2509090909090909,-3648.0625377272345,-4727.096615100056,-2569.028460354413
nu Fixed,$\nu_{\mathrm{fixed}}$,0.25272727272727274,-3535.527697193461,-4558.662596402946,-2512.3927979839755
nu Fixed,$\nu_{\mathrm{fixed}}$,0.2545454545454546,-3421.627341419073,-4386.337183173808,-2456.917499664339
nu Fixed,$\nu_{\mathrm{fixed}}$,0.25636363636363635,-3306.314382308235,-4210.124259704763,-2402.504504911707
nu Fixed,$\nu_{\mathrm{fixed}}$,0.2581818181818182,-3189.5417316622966,-4030.1628723114736,-2348.9205910131195
